Mercedes-Benz ,G-Class ,III (W463) 2018 – now ,
Suzuki ,Baleno ,I 1995 – 2002 ,
Volkswagen ,Golf Plus ,II 2009 – 2014 ,
SEAT ,Altea ,I Restyling 2009 – 2015 ,
Kia ,Soul ,I 2008 – 2011 ,
Volkswagen ,Polo ,V Restyling 2014 – now ,
Mercedes-Benz ,SL-Class ,V (R230) 2001 – 2006 ,
Audi ,A5 ,I (8T) Restyling 2011 – 2016 ,
Hyundai ,i30 ,II 2011 – 2015 ,
BMW ,1 series ,II (F20/F21) 2011 – 2015 ,
Lexus ,GS ,IV 2011 – 2015 ,
Nissan ,Tiida ,II 2015 – 2018 ,
Land Rover ,Range Rover ,III 2001 – 2005 ,
Ford ,Explorer ,V Restyling 2015 – 2018 ,
BMW ,3 series ,V (E90/E91/E92/E93) 2005 – 2010 ,
Suzuki ,Liana ,I Restyling 2004 – 2008 ,
Hyundai ,Grand Starex ,I Restyling 2015 – 2018 ,
Mercedes-Benz ,S-Class ,"VI (W222, C217) 2013 – 2017 ",
Chery ,Tiggo (T11) ,I Restyling (FL) 2011 – 2016 ,
Chevrolet ,Rezzo ,2000 – 2008 ,
Renault ,Scenic ,III 2009 – 2012 ,
SsangYong ,Actyon ,II Restyling 2013 – now ,
Mazda ,MPV ,II (LW) 1999 – 2003 ,
Volkswagen ,Passat CC ,I Restyling 2012 – 2017 ,
Volkswagen ,Golf ,V 2003 – 2009 ,
Nissan ,Note ,I 2005 – 2008 ,
Fiat ,Albea ,I Restyling 2005 – 2012 ,
Ford ,Galaxy ,II 2006 – 2010 ,
Skoda ,Fabia ,II Restyling 2010 – 2014 ,
Lexus ,RX ,I 1997 – 2003 ,
Ford ,Focus ,II Restyling 2007 – 2011 ,
Suzuki ,SX4 ,I (Classic) Restyling 2009 – 2014 ,
Audi ,A3 ,III (8V) Restyling 2016 – now ,
Toyota ,Hilux ,VIII 2015 – now ,
Kia ,Sportage ,II Restyling 2008 – 2010 ,
Peugeot ,307,I 2001 – 2005 ,
Jaguar ,XF ,II 2015 – now ,
Kia ,Optima ,III 2010 – 2013 ,
Opel ,Meriva ,A Restyling 2006 – 2010 ,
Great Wall ,Hover ,2005 – 2010 ,
Chevrolet ,Spark ,III 2009 – 2016 ,
Datsun ,mi-DO ,2015 – now ,
LADA (VAZ) ,Kalina ,II 2013 – 2018 ,
Suzuki ,SX4 ,II (S-Cross) 2013 – 2016 ,
Renault ,Sandero ,II 2013 – 2018 ,
SsangYong ,Rexton ,II 2006 – 2012 ,
SEAT ,Leon ,III 2012 – 2016 ,
Citroen ,C-Crosser ,2007 – 2013 ,
Porsche ,Taycan ,I 2019 – now ,
Volkswagen ,Polo ,V 2009 – 2015 ,
Peugeot ,Partner ,II Restyling 2 2015 – 2018 ,
Renault ,Logan ,I Restyling 2009 – 2015 ,
Mercedes-Benz ,CLA ,"I (C117, X117) Restyling 2016 – 2019 ",
Hyundai ,Matrix ,I Restyling 2 2008 – 2010 ,
Toyota ,Camry ,VII (XV50) Restyling 2 2017 – 2018 ,
Volkswagen ,Caravelle ,T6 2015 – now ,
Hyundai ,i40 ,I Restyling 2015 – 2019 ,
Mazda ,3,III (BM) 2013 – 2017 ,
Toyota ,Camry ,V (XV30) 2001 – 2006 ,
Mazda ,CX-7 ,I 2006 – 2009 ,
Audi ,A7 ,I (4G) Restyling 2014 – 2018 ,
Honda ,CR-V ,III Restyling 2009 – 2012 ,
Mitsubishi ,Pajero ,III 1999 – 2002 ,
Mazda ,626,V (GF) 1997 – 2002 ,
Volvo ,S60 ,II Restyling 2013 – 2018 ,
Volvo ,S40 ,I Restyling 1999 – 2004 ,
Kia ,Picanto ,I Restyling 2007 – 2011 ,
Chevrolet ,Niva ,I 2002 – 2009 ,
Nissan ,X-Trail ,II 2007 – 2011 ,
LADA (VAZ) ,2112,1999 – 2009 ,
Honda ,Element ,I 2002 – 2006 ,
Hyundai ,Solaris ,I 2010 – 2014 ,
Mazda ,2,II (DE) 2007 – 2010 ,
Kia ,Carens ,II (UN) 2006 – 2012 ,
Lexus ,RX ,IV Restyling 2019 – now ,
Toyota ,Corolla ,"XI (E160, E170) 2012 – 2016 ",
MINI ,Clubman ,I Restyling 2010 – 2014 ,
Jeep ,Compass ,I 2006 – 2010 ,
Audi ,A4 ,III (B7) 2004 – 2009 ,
Infiniti ,QX70 ,2013 – 2017 ,
Porsche ,Cayenne ,I Restyling (957) 2007 – 2010 ,
Chevrolet ,TrailBlazer ,II 2012 – 2016 ,
Renault ,Logan ,II 2012 – 2018 ,
Infiniti ,FX ,II (S51) 2008 – 2012 ,
Chevrolet ,Malibu ,IX 2015 – 2018 ,
Mitsubishi ,Outlander ,I 2002 – 2008 ,
Infiniti ,Q50 ,I 2013 – 2017 ,
Audi ,A5 ,II (F5) 2016 – now ,
Ford ,EcoSport ,I 2014 – 2018 ,
Hyundai ,i30 ,I 2007 – 2010 ,
Citroen ,Berlingo ,II 2008 – 2012 ,
BMW ,4 series ,F32/F33/F36 2013 – 2017 ,
Chevrolet ,Captiva ,I Restyling 2011 – 2013 ,
Hyundai ,Terracan ,I Restyling 2004 – 2007 ,
Audi ,A5 ,I (8T) 2007 – 2011 ,
Kia ,Quoris ,I Ресталинг 2 2015 – 2018 ,
Nissan ,Qashqai ,I 2006 – 2010 ,
Mercedes-Benz ,B-Class ,II (W246) 2011 – 2014 ,
Infiniti ,QX50 ,I Restyling 2015 – 2017 ,
Volkswagen ,Beetle ,II (A5) 2011 – 2019 ,
Mazda ,6,III (GJ) Restyling 2 2018 – now ,
Volkswagen ,Phaeton ,I 2002 – 2010 ,
Volkswagen ,Golf Plus ,I 2005 – 2009 ,
Audi ,100,IV (C4) 1990 – 1994 ,
Mitsubishi ,ASX ,I 2010 – 2013 ,
Subaru ,Forester ,V 2018 – now ,
Subaru ,Forester ,IV Restyling 2015 – 2016 ,
Toyota ,Highlander ,III (U50) 2013 – 2016 ,
SsangYong ,Stavic ,2013 – now ,
Acura ,RDX ,I 2006 – 2009 ,
Mitsubishi ,L200 ,V 2015 – 2019 ,
Volkswagen ,Golf ,VII Restyling 2017 – now ,
Hyundai ,Santa Fe ,I 2000 – 2012 ,
Citroen ,DS5 ,2012 – 2015 ,
Toyota ,C-HR ,I 2016 – 2019 ,
Lexus ,ES ,VI Restyling 2015 – 2018 ,
Audi ,A8 ,II (D3) Restyling 2 2007 – 2010 ,
Volvo ,V60 ,I 2010 – 2013 ,
Hyundai ,i30 ,I Restyling 2010 – 2012 ,
Subaru ,Forester ,II Restyling 2005 – 2008 ,
BMW ,X6 M ,I (E71) Restyling 2012 – 2014 ,
Kia ,Soul ,II 2013 – 2016 ,
Mercedes-Benz ,Vito ,II (W639) Restyling 2010 – 2014 ,
Lexus ,GX ,II Restyling 2013 – 2019 ,
Peugeot ,Partner ,II 2008 – 2012 ,
Subaru ,Legacy ,III 1998 – 2004 ,
Nissan ,Tiida ,I Restyling 2010 – 2013 ,
Chevrolet ,Cobalt ,II 2011 – 2016 ,
Mitsubishi ,Pajero ,III Restyling 2002 – 2006 ,
Skoda ,Octavia ,II (A5) 2004 – 2009 ,
Ford ,KA ,I 1996 – 2008 ,
Kia ,Ceed ,I 2006 – 2010 ,
Chevrolet ,Orlando ,I 2010 – 2015 ,
Subaru ,Forester ,III Restyling 2011 – 2013 ,
Renault ,Kangoo ,II 2008 – 2013 ,
Nissan ,Patrol ,VI (Y62) 2010 – 2014 ,
Hyundai ,Elantra ,VI (AD) Restyling 2018 – now ,
Volkswagen ,Passat ,B3 1988 – 1997 ,
Datsun ,on-DO ,I 2014 – 2019 ,
Ford ,Explorer ,IV 2005 – 2010 ,
LADA (VAZ) ,2109,1987 – 2006 ,
Suzuki ,Grand Vitara ,II Restyling 2000 – 2006 ,
BMW ,6 series ,III (F06/F13/F12) Restyling 2015 – 2018 ,
Jaguar ,XK ,II Restyling 1 2009 – 2011 ,
Peugeot ,308,I 2007 – 2011 ,
Mitsubishi ,ASX ,I Restyling 2012 – 2016 ,
Hyundai ,H-1 ,II Restyling 2 2017 – now ,
Ford ,C-MAX ,I 2003 – 2007 ,
Citroen ,C4 ,I Restyling 2008 – 2011 ,
Dodge ,Caravan ,IV 2000 – 2007 ,
Chevrolet ,Aveo ,I Restyling 2006 – 2012 ,
Lexus ,RX ,II Restyling 2006 – 2009 ,
Rolls-Royce ,Phantom ,VIII 2017 – now ,
Citroen ,C3 ,I Restyling 2005 – 2009 ,
LADA (VAZ) ,Priora ,I 2007 – 2013 ,
Mitsubishi ,Outlander ,III Restyling 2014 – 2015 ,
Daewoo ,Nexia ,I Restyling 2008 – 2016 ,
Ravon ,R2 ,2016 – now ,
Honda ,Accord ,VIII Restyling 2011 – 2013 ,
Mazda ,3,I (BK) 2003 – 2006 ,
Mercedes-Benz ,Viano ,I (W639) 2003 – 2010 ,
Toyota ,Carina ,VII (T210) 1996 – 2001 ,
Mitsubishi ,Carisma ,I Restyling 1999 – 2004 ,
Volvo ,C30 ,I 2006 – 2010 ,
Audi ,A4 ,II (B6) 2000 – 2006 ,
Renault ,Clio RS ,III 2006 – 2009 ,
Suzuki ,Grand Vitara ,II 1997 – 2001 ,
Renault ,Megane ,III 2008 – 2014 ,
BMW ,3 series ,III (E36) 1990 – 2000 ,
Mercedes-Benz ,GL-Class ,I (X164) 2006 – 2009 ,
Toyota ,Corolla Verso ,I Restyling 2004 – 2007 ,
Ford ,Kuga ,II Restyling 2016 – 2019 ,
BMW ,2 series ,F22 2014 – 2017 ,
Toyota ,HiAce ,H100 1989 – 2004 ,
BMW ,6 series ,III (F06/F13/F12) 2011 – 2015 ,
Fiat ,Punto ,III Grande Punto 2005 – 2010 ,
Mitsubishi ,Pajero ,IV 2006 – 2011 ,
MINI ,Clubman ,II 2015 – 2019 ,
Mercedes-Benz ,CLS ,II (C218) 2010 – 2014 ,
BMW ,X5 ,I (E53) 1999 – 2003 ,
Mercedes-Benz ,GLS AMG ,I (X166) 2015 – 2019 ,
Suzuki ,Grand Vitara ,III Restyling 2 2012 – 2015 ,
Volvo ,S40 ,II Restyling 2007 – 2012 ,
Citroen ,C4 ,I 2004 – 2014 ,
Subaru ,Outback ,IV Restyling 2012 – 2014 ,
Nissan ,Teana ,I Restyling 2005 – 2008 ,
Isuzu ,Trooper ,II 1992 – 2002 ,
BMW ,1 series ,I (E81/E82/E87/E88) 2004 – 2007 ,
Toyota ,Corolla ,"XI (E160, E170) Restyling 2015 – now ",
BMW ,M5 ,V (F10) 2011 – 2013 ,
BMW ,1 series ,I (E81/E82/E87/E88) Restyling 2007 – 2011 ,
Chevrolet ,Aveo ,I 2003 – 2008 ,
Great Wall ,Hover M2 ,2010 – 2014 ,
Honda ,Pilot ,II Restyling 2011 – 2015 ,
Lifan ,X60 ,I 2011 – 2015 ,
Mazda ,3,III (BM) Restyling 2016 – 2018 ,
Mercedes-Benz ,E-Class ,"III (W211, S211) Restyling 2006 – 2009 ",
Audi ,A3 ,III (8V) 2012 – 2016 ,
Mercedes-Benz ,A-Class ,III (W176) 2012 – 2015 ,
SEAT ,Leon ,II Restyling 2009 – 2012 ,
Mercedes-Benz ,B-Class ,II (W246) Restyling 2014 – 2018 ,
Jaguar ,XE ,I 2015 – 2019 ,
Ford ,S-MAX ,I Restyling 2010 – 2015 ,
Mitsubishi ,Montero Sport ,1996 – 2008 ,
Volkswagen ,Sharan ,I Restyling 2 2003 – 2010 ,
Nissan ,Tiida ,I 2004 – 2012 ,
Opel ,Insignia ,I Restyling 2013 – 2017 ,
Toyota ,Corolla ,VIII (E110) 1995 – 2000 ,
MINI ,Hatch ,III (F55/F56) 2013 – 2018 ,
Volkswagen ,Scirocco ,III 2008 – 2014 ,
Chrysler ,300C ,II Restyling 2015 – now ,
Toyota ,Auris ,I Restyling 2010 – 2012 ,
Renault ,Dokker ,2012 – now ,
Cadillac ,ATS ,I 2012 – 2014 ,
Mercedes-Benz ,M-Class ,I (W163) 1997 – 2001 ,
Ford ,Explorer ,V Restyling 2 2017 – 2019 ,
Chevrolet ,Camaro ,VI Restyling 2018 – now ,
Hyundai ,Accent ,II Restyling 2002 – 2005 ,
Toyota ,Camry ,VI (XV40) Restyling 2009 – 2011 ,
Hyundai ,Grandeur ,V 2011 – 2016 ,
Nissan ,Juke ,I Restyling 2014 – 2019 ,
Kia ,Picanto ,II 2011 – 2015 ,
Kia ,Rio ,III Restyling 2015 – 2017 ,
BMW ,X3 M ,I (F97) 2019 – now ,
Chery ,Tiggo 3 ,I 2014 – now ,
Peugeot ,206,1998 – 2012 ,
Nissan ,Qashqai+2 ,I Restyling 2010 – 2013 ,
Ford ,F-150 ,XIII Restyling 2017 – now ,
Toyota ,Avensis ,III 2008 – 2011 ,
Toyota ,RAV4 ,II (XA20) 2000 – 2003 ,
Lexus ,UX ,I 2018 – now ,
Subaru ,Tribeca ,I 2004 – 2007 ,
Chery ,QQ6 (S21) ,2006 – 2010 ,
Chevrolet ,Spark ,II 2005 – 2009 ,
Daewoo ,Nexia ,I 1994 – 2008 ,
Mazda ,6,II (GH) Restyling 2009 – 2013 ,
Citroen ,C4 Picasso ,II 2013 – 2016 ,
Audi ,A4 ,V (B9) 2015 – now ,
Toyota ,Corolla ,XII (E210) 2018 – now ,
Audi ,A6 ,II (C5) 1997 – 2001 ,
Chrysler ,Town & Country ,V Restyling 2010 – 2016 ,
Hyundai ,Equus ,II Restyling 2013 – 2016 ,
Nissan ,Primera ,III (P12) 2001 – 2008 ,
YAZ ,Hunter ,2003 – now ,
Ferrari ,FF ,2011 – 2016 ,
Mitsubishi ,Pajero Sport ,II Restyling 2013 – 2016 ,
Daewoo ,Leganza ,1997 – 2008 ,
Jaguar ,X-Type ,I 2001 – 2008 ,
SsangYong ,Rexton ,III 2012 – 2017 ,
Jaguar ,XF ,I Restyling 2011 – 2015 ,
Subaru ,WRX ,I Restyling 2016 – now ,
Peugeot ,3008,I 2009 – 2013 ,
Mercedes-Benz ,M-Class AMG ,III (W166) 2011 – 2015 ,
Jaguar ,XJ ,IV (X351) 2009 – 2015 ,
Kia ,Sportage ,II 2004 – 2008 ,
Hyundai ,Elantra ,V (MD) 2010 – 2014 ,
Mazda ,Demio ,I (DW) 1996 – 2003 ,
Renault ,Megane ,I 1995 – 1999 ,
SsangYong ,Kyron ,I 2005 – 2007 ,
Kia ,K900 ,II 2018 – now ,
Honda ,CR-Z ,2010 – 2016 ,
Audi ,RS Q3 ,I (8U) 2013 – 2015 ,
Ravon ,Nexia R3 ,2015 – now ,
Bentley ,Continental GT ,II Restyling 2015 – 2017 ,
Mercedes-Benz ,GLE AMG ,I (W166) 2015 – 2019 ,
Chevrolet ,Aveo ,II 2011 – 2015 ,
Chrysler ,300M ,1998 – 2004 ,
Volkswagen ,Multivan ,T5 Restyling 2009 – 2015 ,
Jaguar ,F-Type ,I Restyling 2017 – 2019 ,
Kia ,Ceed ,II Restyling 2015 – 2018 ,
SEAT ,Alhambra ,II 2010 – 2015 ,
LADA (VAZ) ,21099,1990 – 2011 ,
Kia ,Soul ,III 2019 – now ,
Hyundai ,Elantra ,VI (AD) 2015 – 2019 ,
Citroen ,Berlingo ,II Restyling 2012 – 2015 ,
Honda ,Fit ,I 2001 – 2008 ,
Volkswagen ,Passat ,B5 1996 – 2001 ,
Peugeot ,508,I 2011 – 2014 ,
Kia ,Ceed GT ,I 2012 – 2015 ,
Toyota ,Echo ,1999 – 2005 ,
YAZ ,Pickup ,I Restyling 2 2016 – now ,
Toyota ,Corolla ,"X (E140, E150) Restyling 2010 – 2013 ",
Nissan ,Elgrand ,II (E51) 2002 – 2010 ,
Chevrolet ,Tracker ,III (Trax) 2013 – 2017 ,
Suzuki ,Swift ,IV 2011 – 2013 ,
Renault ,Koleos ,I Restyling 2 2013 – 2016 ,
Mercedes-Benz ,A-Class ,III (W176) Restyling 2015 – 2018 ,
Jaguar ,XJ ,IV (X351) Restyling 2015 – 2019 ,
BMW ,1 series ,II (F20/F21) Restyling 2015 – 2017 ,
Toyota ,Corolla ,"IX (E120, E130) 2000 – 2004 ",
Suzuki ,Grand Vitara ,III Restyling 2008 – 2012 ,
Ford ,Ranger ,II 2006 – 2009 ,
MINI ,Hatch ,I (R50) 2000 – 2006 ,
Kia ,Cerato ,I 2003 – 2007 ,
Chevrolet ,Corvette ,C7 2013 – 2019 ,
Subaru ,Forester ,I 1997 – 2000 ,
Jeep ,Compass ,I Restyling 2 2013 – 2016 ,
Citroen ,C1 ,I Restyling 2008 – 2012 ,
Peugeot ,508,I Restyling 2014 – 2018 ,
Mercedes-Benz ,GLA AMG ,I (X156) 2014 – 2017 ,
Luxgen ,Luxgen7 SUV ,2013 – 2017 ,
BMW ,5 series ,IV (E39) Restyling 2000 – 2004 ,
BMW ,5 series ,III (E34) 1987 – 1996 ,
Audi ,A4 allroad ,IV (B8) Restyling 2011 – 2016 ,
LADA (VAZ) ,2105,1979 – 2011 ,
Suzuki ,Swift ,III 2004 – 2011 ,
Opel ,Zafira ,B 2005 – 2008 ,
Nissan ,Micra ,III (K12) 2002 – 2010 ,
Audi ,80,IV (B3) 1986 – 1991 ,
Renault ,Symbol ,I Restyling 2002 – 2006 ,
Vortex ,Tingo ,I 2010 – 2012 ,
Citroen ,C4 Picasso ,II Restyling 2016 – 2018 ,
Opel ,Corsa ,D Restyling I 2010 – 2011 ,
Toyota ,Sienna ,II Restyling 2005 – 2010 ,
Porsche ,Macan ,I Restyling 2018 – now ,
Volkswagen ,Transporter ,T5 Restyling 2009 – 2015 ,
Renault ,Latitude ,I 2010 – 2013 ,
Volkswagen ,Phaeton ,I Restyling 2010 – 2016 ,
Infiniti ,Q50 ,I Restyling 2017 – now ,
Hyundai ,Getz ,I 2002 – 2005 ,
Peugeot ,307,I Restyling 2005 – 2008 ,
Nissan ,Armada ,I 2003 – 2007 ,
Audi ,A4 ,I (B5) 1994 – 1999 ,
Kia ,Proceed ,I 2018 – now ,
Hyundai ,Grandeur ,IV 2005 – 2009 ,
Honda ,Accord ,VIII 2007 – 2011 ,
BMW ,5 series ,VII (G30/G31) Restyling 2020 – now ,
Volkswagen ,Golf ,IV 1997 – 2006 ,
Suzuki ,Ignis ,II (HR) 2003 – 2008 ,
Audi ,A1 ,I (8X) Restyling 2014 – 2018 ,
GAZ ,31105 «Volga» ,2003 – 2009 ,
Kia ,Sportage ,I 1993 – 2006 ,
Moskvich ,2141,1986 – 1998 ,
Daewoo ,Gentra ,II 2013 – 2015 ,
Opel ,Corsa ,C Restyling 2003 – 2006 ,
Infiniti ,M ,IV 2010 – 2013 ,
Mazda ,3,IV (BP) 2019 – now ,
Mercedes-Benz ,E-Class ,I (W124) 1992 – 1997 ,
Mitsubishi ,Pajero Pinin ,1998 – 2006 ,
SsangYong ,Korando ,II 1996 – 2006 ,
Chery ,Kimo (A1) ,2007 – 2014 ,
Kia ,Sorento ,I Restyling 2006 – 2011 ,
Infiniti ,Q70 ,I 2013 – 2014 ,
SsangYong ,Rodius ,I Restyling 2007 – 2013 ,
Mitsubishi ,Colt ,VI (Z20/Z30) 2002 – 2012 ,
Volkswagen ,Golf GTI ,VII 2013 – 2017 ,
Great Wall ,Hover H3 ,I Restyling 2014 – 2016 ,
Hyundai ,i20 ,I 2008 – 2012 ,
Cadillac ,SRX ,I 2003 – 2009 ,
Opel ,Meriva ,B 2010 – 2014 ,
Honda ,CR-V ,II Restyling 2004 – 2006 ,
Honda ,Accord ,IX 2012 – 2015 ,
YAZ ,Pickup ,I Restyling 2014 – 2016 ,
Opel ,Frontera ,A 1992 – 1998 ,
Peugeot ,207,I 2006 – 2009 ,
Honda ,Legend ,IV 2004 – 2008 ,
Toyota ,Corolla ,"IX (E120, E130) Restyling 2003 – 2007 ",
Chery ,Tiggo 5 ,I 2014 – 2016 ,
Subaru ,Impreza ,III 2007 – 2011 ,
Toyota ,Venza ,I 2008 – 2012 ,
Peugeot ,605,1989 – 1999 ,
Daihatsu ,Sirion ,I (M1) 1998 – 2004 ,
Citroen ,C5 ,II 2008 – 2017 ,
Opel ,Antara ,I 2006 – 2011 ,
Kia ,Soul ,II Restyling 2016 – 2019 ,
Subaru ,Forester ,IV Restyling 2 2016 – 2018 ,
Toyota ,Venza ,I Restyling 2012 – 2017 ,
Ford ,Focus ,I Restyling 2001 – 2005 ,
Opel ,Astra ,H 2004 – 2007 ,
SsangYong ,Actyon Sports ,II 2012 – 2016 ,
Volkswagen ,Transporter ,T5 2003 – 2009 ,
Saab ,9-5 ,I Restyling 2001 – 2005 ,
Toyota ,Prius ,I (XW10) 1997 – 2000 ,
Mercedes-Benz ,S-Class ,"VI (W222, C217) Restyling 2017 – now ",
Porsche ,911,VI (997) 2004 – 2009 ,
LADA (VAZ) ,2101,1970 – 1988 ,
Hyundai ,Sonata ,IV (EF) Restyling 2001 – 2012 ,
Renault ,Kangoo ,II Restyling 2013 – now ,
Toyota ,Sienna ,III 2010 – 2014 ,
Lexus ,GX ,II Restyling 2 2019 – now ,
Peugeot ,4007,2007 – 2012 ,
Kia ,Venga ,I Restyling 2014 – 2018 ,
DongFeng ,H30 Cross ,2011 – 2018 ,
Fiat ,Sedici ,2005 – 2014 ,
Mercedes-Benz ,C-Class ,II (W203) Restyling 2004 – 2008 ,
Nissan ,Terrano ,II Restyling 2 1999 – 2006 ,
Opel ,Vectra ,B 1995 – 1999 ,
Ford ,Mondeo ,III Restyling 2003 – 2007 ,
Hyundai ,Santa Fe ,III 2012 – 2016 ,
Mercedes-Benz ,Vito ,III (W447) 2014 – now ,
Peugeot ,301,I 2012 – 2016 ,
Peugeot ,Partner ,II Restyling 2012 – 2015 ,
Porsche ,Boxster ,IV 718 (982) 2016 – now ,
Mitsubishi ,L200 ,V Restyling 2018 – now ,
Mazda ,5,II (CW) 2010 – 2015 ,
Citroen ,C3 Picasso ,I Restyling 2012 – 2017 ,
Toyota ,Vitz ,I (P10) 1999 – 2005 ,
Renault ,Scenic ,II 2003 – 2006 ,
Nissan ,Murano ,II (Z51) 2007 – 2010 ,
Honda ,Civic ,VI 1995 – 2002 ,
Honda ,Pilot ,III Restyling 2018 – now ,
Nissan ,Liberty ,1998 – 2004 ,
Mercedes-Benz ,B-Class ,I (W245) 2005 – 2009 ,
Kia ,Picanto ,I 2004 – 2007 ,
Renault ,Kangoo ,I Restyling 2003 – 2009 ,
Skoda ,Roomster ,I 2006 – 2010 ,
Renault ,Scenic ,I Restyling 1999 – 2003 ,
Peugeot ,208,I 2012 – 2015 ,
Skoda ,Fabia ,I 1999 – 2004 ,
ZAZ ,Chance ,2009 – 2014 ,
Kia ,Sephia ,II 1997 – 2001 ,
Infiniti ,QX50 ,I 2013 – 2015 ,
Audi ,A6 ,II (C5) Restyling 2001 – 2004 ,
Toyota ,Avensis ,II 2003 – 2006 ,
Kia ,Picanto ,II Restyling 2015 – 2017 ,
Chery ,IndiS (S18D) ,I 2010 – 2015 ,
Volkswagen ,Polo ,IV 2001 – 2005 ,
LADA (VAZ) ,2131 (4x4) ,I 1993 – 2019 ,
Volkswagen ,Teramont ,I 2017 – now ,
TagAZ ,Vega ,2009 – 2010 ,
Datsun ,on-DO ,I Restyling 2019 – now ,
Ford ,Tourneo Connect ,I 2002 – 2009 ,
Toyota ,RAV4 ,II (XA20) Restyling 2003 – 2006 ,
Renault ,Fluence ,I Restyling 2012 – 2017 ,
Ravon ,R4 ,2016 – now ,
Hyundai ,Matrix ,I Restyling 2005 – 2008 ,
Renault ,Clio ,III Restyling 2009 – 2014 ,
Opel ,Astra ,G 1998 – 2009 ,
Opel ,Zafira ,A Restyling 2003 – 2006 ,
Fiat ,Doblo ,II Restyling 2015 – now ,
Opel ,Corsa ,D Restyling II 2011 – 2014 ,
Honda ,Crosstour ,I Restyling 2012 – 2015 ,
Jeep ,Wrangler ,II (TJ) 1996 – 2006 ,
Renault ,Koleos ,I 2008 – 2011 ,
Haval ,H2 ,2014 – now ,
MINI ,Coupe ,I 2011 – 2015 ,
Dodge ,Stratus ,II 2000 – 2003 ,
Mitsubishi ,Space Star ,I 1998 – 2002 ,
Mercedes-Benz ,B-Class ,III (W247) 2018 – now ,
Subaru ,Impreza ,IV 2011 – 2015 ,
Kia ,Rio ,II 2005 – 2009 ,
Vortex ,Estina ,I 2008 – 2012 ,
LADA (VAZ) ,2121 (4x4) ,I Restyling (2020) 2019 – now ,
Mercedes-Benz ,GLC AMG ,I (X253) Restyling 2019 – now ,
Subaru ,Outback ,V 2014 – 2018 ,
Hyundai ,Trajet ,I Restyling 2004 – 2008 ,
Nissan ,Micra ,II (K11) 1992 – 2002 ,
Acura ,TLX ,I 2014 – 2017 ,
Land Rover ,Defender ,I Restyling 2007 – 2016 ,
Audi ,TT ,II (8J) Restyling 2010 – 2014 ,
BMW ,M6 ,III (F06/F13/F12) 2012 – 2018 ,
Ford ,C-MAX ,I Restyling 2007 – 2010 ,
Geely ,Emgrand EC7 ,2009 – 2016 ,
Hyundai ,Matrix ,I 2001 – 2005 ,
Hyundai ,Sonata ,VI (YF) 2009 – 2014 ,
Nissan ,Teana ,III 2014 – now ,
Great Wall ,Safe ,2001 – 2010 ,
Mazda ,626,IV (GE) 1991 – 1997 ,
Toyota ,Auris ,II 2012 – 2015 ,
Mitsubishi ,Lancer ,IX 2000 – 2007 ,
Mazda ,5,I (CR) Restyling 2007 – 2010 ,
GAZ ,Volga Siber ,I 2008 – 2010 ,
Genesis ,G90 ,I 2016 – 2019 ,
Audi ,A8 ,III (D4) Restyling 2013 – 2017 ,
Honda ,Accord ,VI 1997 – 2002 ,
Nissan ,GT-R ,I Restyling 2 2013 – 2016 ,
Chevrolet ,Volt ,I 2010 – 2015 ,
Audi ,A8 ,II (D3) 2002 – 2005 ,
Audi ,TT ,II (8J) 2006 – 2010 ,
Ford ,Escape ,I Restyling 2004 – 2007 ,
Volvo ,S80 ,II Restyling 2 2013 – 2016 ,
Alfa Romeo ,147,I Restyling 2004 – 2010 ,
Mercedes-Benz ,CLS AMG ,II (W218) 2011 – 2014 ,
Citroen ,Berlingo ,II Restyling 2 2015 – 2019 ,
Opel ,Vectra ,C 2002 – 2005 ,
Chevrolet ,Tahoe ,II 1999 – 2006 ,
Peugeot ,1007,2005 – 2009 ,
Suzuki ,Jimny ,III 1998 – 2005 ,
Ford ,Escape ,I Restyling 2 2007 – 2012 ,
Iran Khodro ,Samand ,2002 – now ,
Ford ,Mondeo ,II 1994 – 2001 ,
Toyota ,Land Cruiser ,100 Series Restyling 1 2002 – 2005 ,
Cadillac ,SRX ,II Restyling 2012 – 2016 ,
Mitsubishi ,Eclipse ,IV Restyling 2008 – 2011 ,
Mercedes-Benz ,CLA AMG ,"I (C117, X117) Restyling 2016 – 2019 ",
Ford ,Escape ,I 2000 – 2004 ,
Jaguar ,XF ,I 2007 – 2011 ,
BMW ,2 series Active Tourer ,F45 2014 – 2018 ,
Mercedes-Benz ,W128 ,1958 – 1960 ,
Audi ,A4 allroad ,V (B9) 2016 – now ,
Toyota ,Prius ,III (XW30) 2009 – 2011 ,
Mercedes-Benz ,SLK-Class ,III (R172) 2011 – 2016 ,
GMC ,Savana ,I Restyling 2003 – now ,
Kia ,Quoris ,I 2012 – 2014 ,
Mazda ,CX-9 ,II 2016 – now ,
BMW ,i3 ,I (I01) 2013 – 2017 ,
Rolls-Royce ,Ghost ,I Restyling (Series II) 2014 – now ,
Rolls-Royce ,Ghost ,I 2010 – 2014 ,
Mercedes-Benz ,W124 ,1984 – 1993 ,
Audi ,A6 allroad ,II (C6) 2006 – 2008 ,
Subaru ,Legacy ,VI Restyling 2017 – now ,
Lexus ,LS ,III Restyling 2003 – 2006 ,
Lexus ,GX ,II 2009 – 2013 ,
Fiat ,Doblo ,I Restyling 2005 – 2015 ,
